model,slot,slot_type,variable,rmse,mae,r2
M6,1,initial,KL,112999127.4649498,25906019.562734023,0.9705833144085876
M6,1,initial,KR,59664188046.33091,11320956016.973446,0.9588073613544719
M6,1,initial,KLR,2218599302.7973366,450035949.0132235,0.9629435768097171
M6,2,drop,KL,113398436.05159144,26169293.199783523,0.9703750457323778
M6,2,drop,KR,59896527169.83411,11447985349.725277,0.9584859190791929
M6,2,drop,KLR,2227582183.660835,455127669.57665086,0.9626428940144859
M6,3,drop,KL,113879257.57208452,26629334.079200435,0.9701232871585438
M6,3,drop,KR,60156204827.97383,11633700710.610773,0.9581251753620477
M6,3,drop,KLR,2237757116.3513722,463272126.48689497,0.9623008423071587
M6,4,drop,KL,114504875.1566712,27216932.888426155,0.9697944929588603
M6,4,drop,KR,60474690614.42316,11871020834.40981,0.9576801027011983
M6,4,drop,KLR,2250586892.4896235,474211068.278585,0.9618672808216568
M6,5,drop,KL,115065139.46053706,27513711.8323795,0.9694735665583691
M6,5,drop,KR,60767249842.670395,11995120927.981852,0.9572369540844233
M6,5,drop,KLR,2262040209.9743547,478814002.47284544,0.9614485586667617
M6,6,drop,KL,114951783.63080895,27129903.82626523,0.969421390177718
M6,6,drop,KR,60640842523.714745,11840890910.450611,0.957236488762484
M6,6,drop,KLR,2258220246.852631,472264216.39856434,0.9614199494941844
M6,7,drop,KL,114381230.3016636,26639330.758224133,0.9694634865283054
M6,7,drop,KR,60251314153.84567,11597947574.492939,0.9574124606196268
M6,7,drop,KLR,2244329454.790765,461837746.6916237,0.9615451857387549
M6,8,drop,KL,113831552.02575813,26755251.659441393,0.969286789176196
M6,8,drop,KR,59949518188.65598,11620165672.571419,0.9572076901906924
M6,8,drop,KLR,2234335391.96858,463101614.9172513,0.9612924771567494
M6,9,drop,KL,113753512.35309774,26305710.31158182,0.9686554852776302
M6,9,drop,KR,59863434381.83395,11450116751.750402,0.9564537676346977
M6,9,drop,KLR,2232903400.206878,455635343.1951691,0.960515241390252
M6,10,drop,KL,112535848.58794034,26823912.9730371,0.9683917725719488
M6,10,drop,KR,59001262656.63421,11429737563.67355,0.9565062100779443
M6,10,drop,KLR,2204632170.797724,463005303.80437785,0.960389881465986
M6,11,drop,KL,109710336.50725523,26017508.484468788,0.9676612317992792
M6,11,drop,KR,57701217350.30483,11125349366.7184,0.9553202797223648
M6,11,drop,KLR,2155178778.4453244,450885924.6369923,0.9593289707235818
M6,12,drop,KL,108048136.2505106,26313288.62626498,0.9666816419280269
M6,12,drop,KR,56634924570.5919,11159254269.475464,0.9542946623181963
M6,12,drop,KLR,2117559808.3267457,456127128.68897986,0.9583405193351584
M6,13,drop,KL,104713691.05461973,25941318.2627324,0.9661848963713046
M6,13,drop,KR,54712661202.33378,10796167109.920727,0.9537901808955263
M6,13,drop,KLR,2048389737.3285298,445968642.6199001,0.9578733113879229
M6,14,drop,KL,99435939.29786503,24397144.70774881,0.9666956943013625
M6,14,drop,KR,51992225146.01321,10150420905.910763,0.9541460062799736
M6,14,drop,KLR,1947712432.8157692,419905717.9957191,0.9583389067599707
M6,15,drop,KL,91874041.0642863,22736374.086629722,0.9682307508398413
M6,15,drop,KR,48199719321.09587,9366586289.270248,0.9556084484090686
M6,15,drop,KLR,1805796463.466104,389287598.48961455,0.9598963963918358
M6,16,drop,KL,82660882.03992555,20466659.220175046,0.9703619097462747
M6,16,drop,KR,43560246575.165794,8427128479.702579,0.9578338941526788
M6,16,drop,KLR,1630963131.556122,350566026.1648853,0.9622109335121103
M6,17,drop,KL,72372951.31308724,19074572.713563025,0.97227689006844
M6,17,drop,KR,37934711900.4039,7595306824.026344,0.9606792714602824
M6,17,drop,KLR,1423304253.9776576,320798189.62211925,0.9648328477587897
M6,18,drop,KL,55614134.694537714,13768505.71131782,0.975179808568956
M6,18,drop,KR,29503306699.557617,5640633334.341134,0.963501840700371
M6,18,drop,KLR,1101886860.3839326,235693672.93155423,0.9679392220539178
M6,19,drop,KL,43804748.29973298,11538775.574759189,0.9761095209419594
M6,19,drop,KR,23163026819.407433,4663342325.865418,0.9648263248501864
M6,19,drop,KLR,866444985.1095904,195395114.54448724,0.9691696880172875
M6,20,drop,KL,30488385.00403112,7900528.03415416,0.9779862480848114
M6,20,drop,KR,16121804670.646963,3207751798.145558,0.9676399686525022
M6,20,drop,KLR,602874275.1641917,132950331.02416241,0.9716894687979999
M6,21,drop,KL,21839880.856433805,6624407.80935835,0.9761309737037278
M6,21,drop,KR,11373875010.214804,2567218155.675131,0.9661941543780206
M6,21,drop,KLR,427201032.6347936,108829200.93201283,0.9700786124510382
